Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
BRCA2	675	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BTG1	694	5	Yes	No	Yes	Yes	Yes	No	Yes
BTK	695	6	Yes	Yes	Yes	Yes	Yes	No	Yes
BUB1B	701	1	No	No	No	No	No	No	Yes
CACNA1D	776	1	No	No	No	No	No	No	Yes
CAD	790	1	No	No	No	No	Yes	No	No
CALR	811	5	Yes	Yes	Yes	Yes	No	No	Yes
CARS	833	2	No	No	No	No	Yes	No	Yes
CASP8	841	5	Yes	Yes	Yes	No	No	Yes	Yes
RUNX2	860	1	No	No	No	No	Yes	No	No
RUNX1	861	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RUNX1T1	862	5	Yes	No	Yes	Yes	Yes	No	Yes
CBFA2T3	863	2	No	No	No	No	Yes	No	Yes
CBFB	865	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CBL	867	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CBLB	868	1	No	No	No	No	No	No	Yes
CCND2	894	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CCND3	896	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CCNE1	898	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CD22	933	1	No	No	No	No	Yes	No	No
CD28	940	2	Yes	No	Yes	No	No	No	No
CD36	948	1	No	No	No	No	Yes	No	No
CD58	965	3	Yes	No	Yes	No	Yes	No	No
CD70	970	1	No	No	No	No	Yes	No	No
CD74	972	1	No	No	No	No	No	No	Yes
CD79A	973	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CD79B	974	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CDC42	998	2	Yes	Yes	No	No	No	No	No
CDH1	999	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDH11	1009	1	No	No	No	No	No	No	Yes
CDK4	1019	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CDK6	1021	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CDK8	1024	5	Yes	Yes	Yes	Yes	Yes	No	No
CDKN1A	1026	3	Yes	Yes	No	Yes	No	No	No
CDKN1B	1027	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CDKN2A	1029	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDKN2B	1030	5	Yes	Yes	Yes	Yes	Yes	No	No
CDKN2C	1031	6	Yes	Yes	Yes	Yes	Yes	No	Yes
CDX2	1045	2	No	No	No	No	Yes	No	Yes
CEBPA	1050	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CENPA	1058	2	Yes	Yes	No	No	No	No	No
CHD2	1106	2	No	No	No	Yes	Yes	No	No
CHD4	1108	2	No	No	No	Yes	No	No	Yes
AKR1C4	1109	1	No	No	No	No	Yes	No	No
CHEK1	1111	5	Yes	Yes	Yes	Yes	Yes	No	No
CHN1	1123	1	No	No	No	No	Yes	No	No
CKS1B	1163	1	No	No	No	No	Yes	No	No
CLTC	1213	2	No	No	No	No	Yes	No	Yes
COL1A1	1277	2	No	No	No	No	Yes	No	Yes
COL2A1	1280	1	No	No	No	No	No	No	Yes
KLF6	1316	1	No	No	No	No	No	No	Yes
COX6C	1345	1	No	No	No	No	No	No	Yes
CPS1	1373	1	No	No	No	No	Yes	No	No
CREB1	1385	1	No	No	No	No	No	No	Yes
CREBBP	1387	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CRKL	1399	5	Yes	Yes	Yes	Yes	Yes	No	No
CSF1	1435	1	No	No	No	No	Yes	No	No
CSF1R	1436	6	Yes	Yes	Yes	Yes	Yes	Yes	No
CSF3R	1441	5	Yes	Yes	Yes	No	Yes	No	Yes
CTLA4	1493	2	Yes	Yes	No	No	No	No	No
CTNNA1	1495	2	No	No	No	Yes	Yes	No	No
CTNNB1	1499	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CUX1	1523	4	Yes	No	Yes	No	Yes	No	Yes
CYLD	1540	6	Yes	Yes	Yes	Yes	No	Yes	Yes
DAXX	1616	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DCTN1	1639	1	No	No	No	No	No	No	Yes
DDB2	1643	1	No	No	No	No	No	No	Yes
DDIT3	1649	2	No	No	No	No	Yes	No	Yes
DDX3X	1654	4	Yes	No	Yes	No	Yes	No	Yes
DDX5	1655	1	No	No	No	No	No	No	Yes
DDX6	1656	2	No	No	No	No	Yes	No	Yes
DDX10	1662	2	No	No	No	No	Yes	No	Yes
DNM2	1785	2	No	No	No	No	Yes	No	Yes
DNMT1	1786	3	Yes	Yes	No	No	No	Yes	No
DNMT3A	1788	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DNMT3B	1789	2	Yes	Yes	No	No	No	No	No
ARID3A	1820	2	Yes	No	Yes	No	No	No	No
DTX1	1840	3	Yes	No	Yes	No	Yes	No	No
DUSP2	1844	1	No	No	No	No	Yes	No	No
DUSP4	1846	2	Yes	Yes	No	No	No	No	No
DUSP9	1852	1	No	No	No	No	Yes	No	No
E2F3	1871	2	Yes	Yes	No	No	No	No	No
EBF1	1879	2	No	No	No	No	Yes	No	Yes
EGFR	1956	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
EGR1	1958	2	Yes	No	Yes	No	No	No	No
EIF1AX	1964	2	Yes	Yes	No	No	No	No	No
EIF4A2	1974	4	Yes	Yes	No	No	Yes	No	Yes
EIF4E	1977	2	Yes	Yes	No	No	No	No	No
ELF3	1999	2	Yes	Yes	No	No	No	No	No
ELF4	2000	2	No	No	No	No	Yes	No	Yes
ELK4	2005	1	No	No	No	No	No	No	Yes
ELN	2006	2	No	No	No	No	Yes	No	Yes
EP300	2033	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
EPAS1	2034	3	Yes	Yes	No	No	No	No	Yes
EPHA3	2042	5	Yes	Yes	Yes	Yes	Yes	No	No
EPHA5	2044	5	Yes	Yes	Yes	Yes	Yes	No	No
EPHA7	2045	5	Yes	Yes	Yes	Yes	Yes	No	No
EPHB1	2047	5	Yes	Yes	Yes	Yes	Yes	No	No
EPOR	2057	1	No	No	No	No	Yes	No	No
EPS15	2060	2	No	No	No	No	Yes	No	Yes
ERBB2	2064	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ERBB3	2065	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ERBB4	2066	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ERCC2	2068	3	Yes	Yes	No	No	No	No	Yes
ERCC3	2071	3	Yes	Yes	No	No	No	No	Yes
ERCC4	2072	3	Yes	Yes	No	No	No	No	Yes
ERCC5	2073	3	Yes	Yes	No	No	No	No	Yes
ERF	2077	2	Yes	Yes	No	No	No	No	No
ERG	2078	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ESR1	2099	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ETS1	2113	1	No	No	No	No	Yes	No	No
ETV1	2115	5	Yes	Yes	No	Yes	Yes	No	Yes
ETV4	2118	4	Yes	No	No	Yes	Yes	No	Yes
ETV5	2119	3	No	No	No	Yes	Yes	No	Yes
ETV6	2120	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MECOM	2122	2	No	No	No	No	Yes	No	Yes
EWSR1	2130	3	Yes	No	No	No	Yes	No	Yes
EXT1	2131	1	No	No	No	No	No	No	Yes
EXT2	2132	1	No	No	No	No	No	No	Yes
EZH1	2145	2	Yes	Yes	No	No	No	No	No
EZH2	2146	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FANCA	2175	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FANCC	2176	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FANCD2	2177	5	Yes	No	Yes	Yes	Yes	No	Yes
FANCE	2178	3	No	No	No	Yes	Yes	No	Yes
ACSL3	2181	1	No	No	No	No	No	No	Yes
FANCF	2188	3	No	No	No	Yes	Yes	No	Yes
FANCG	2189	3	No	No	No	Yes	Yes	No	Yes
FAT1	2195	5	Yes	Yes	Yes	Yes	No	No	Yes
FCGR2B	2213	2	No	No	No	No	Yes	No	Yes
FES	2242	1	No	No	No	No	No	No	Yes
FGF3	2248	5	Yes	Yes	Yes	Yes	Yes	No	No
FGF4	2249	5	Yes	Yes	Yes	Yes	Yes	No	No
FGF6	2251	2	No	No	No	Yes	Yes	No	No
FGF10	2255	2	No	No	No	Yes	Yes	No	No
FGF14	2259	2	No	No	No	Yes	Yes	No	No
FGFR1	2260	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FGFR3	2261	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FGFR2	2263	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FGFR4	2264	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FH	2271	4	Yes	Yes	No	Yes	No	No	Yes
FHIT	2272	2	No	No	No	No	Yes	No	Yes
FOXO1	2308	5	Yes	Yes	Yes	No	Yes	No	Yes
FOXO3	2309	2	No	No	No	No	Yes	No	Yes
FLI1	2313	2	No	No	No	No	Yes	No	Yes
FLT1	2321	5	Yes	Yes	Yes	Yes	Yes	No	No
FLT3	2322	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FLT4	2324	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MTOR	2475	6	Yes	Yes	Yes	Yes	Yes	No	Yes
FUS	2521	2	No	No	No	No	Yes	No	Yes
KDSR	2531	2	No	No	No	No	Yes	No	Yes
FYN	2534	3	Yes	Yes	Yes	No	No	No	No
GABRA6	2559	1	No	No	No	Yes	No	No	No
GATA1	2623	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GATA2	2624	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GATA3	2625	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GATA4	2626	1	No	No	No	Yes	No	No	No
GATA6	2627	1	No	No	No	Yes	No	No	No
GPC3	2719	1	No	No	No	No	No	No	Yes
GLI1	2735	4	Yes	Yes	No	Yes	Yes	No	No
GNA11	2767	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GNA12	2768	3	Yes	No	Yes	No	Yes	No	No
GNAQ	2776	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GNAS	2778	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GNB1	2782	2	Yes	No	Yes	No	No	No	No
GPS2	2874	2	Yes	Yes	No	No	No	No	No
GRIN2A	2903	6	Yes	Yes	Yes	Yes	Yes	No	Yes
GRM3	2913	1	No	No	No	Yes	No	No	No
GSK3B	2932	5	Yes	Yes	Yes	Yes	Yes	No	No
MSH6	2956	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GTF2I	2969	2	Yes	No	Yes	No	No	No	No
HIST1H1C	3006	4	Yes	Yes	Yes	No	Yes	No	No
HIST1H1D	3007	3	Yes	No	Yes	No	Yes	No	No
HIST1H1E	3008	3	Yes	No	Yes	No	Yes	No	No
HIST1H1B	3009	2	Yes	No	Yes	No	No	No	No
HIST1H2BD	3017	3	Yes	Yes	Yes	No	No	No	No
H3F3A	3020	5	Yes	Yes	No	Yes	No	Yes	Yes
H3F3B	3021	3	Yes	Yes	No	No	No	No	Yes
HDAC1	3065	3	Yes	No	Yes	No	Yes	No	No
HGF	3082	5	Yes	Yes	Yes	Yes	Yes	No	No
NRG1	3084	1	No	No	No	No	No	No	Yes
HIF1A	3091	3	Yes	No	Yes	No	No	No	Yes
HIP1	3092	2	No	No	No	No	Yes	No	Yes
HLA-A	3105	4	Yes	Yes	Yes	No	No	No	Yes
HLA-B	3106	2	Yes	Yes	No	No	No	No	No
MNX1	3110	2	No	No	No	No	Yes	No	Yes
HLF	3131	2	No	No	No	No	Yes	No	Yes
HMGA1	3159	2	No	No	No	No	Yes	No	Yes
FOXA1	3169	3	Yes	Yes	No	No	No	No	Yes
HNRNPA2B1	3181	1	No	No	No	No	No	No	Yes
TLX1	3195	2	No	No	No	No	Yes	No	Yes
HOXA3	3200	1	No	No	No	No	Yes	No	No
HOXA9	3205	2	No	No	No	No	Yes	No	Yes
HOXA11	3207	2	No	No	No	No	Yes	No	Yes
HOXA13	3209	2	No	No	No	No	Yes	No	Yes
HOXC11	3227	2	No	No	No	No	Yes	No	Yes
HOXC13	3229	2	No	No	No	No	Yes	No	Yes
HOXD11	3237	2	No	No	No	No	Yes	No	Yes
HOXD13	3239	2	No	No	No	No	Yes	No	Yes
HRAS	3265	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
HSD3B1	3283	1	No	No	No	Yes	No	No	No
HSP90AA1	3320	3	No	No	No	Yes	Yes	No	Yes
HSP90AB1	3326	2	No	No	No	No	Yes	No	Yes
DNAJB1	3337	3	Yes	Yes	No	No	No	No	Yes
IRF8	3394	3	Yes	No	Yes	No	Yes	No	No
ID3	3399	4	Yes	Yes	Yes	No	Yes	No	No
IDH1	3417	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
IDH2	3418	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
IFNGR1	3459	2	Yes	Yes	No	No	No	No	No
IGF1	3479	3	Yes	Yes	Yes	No	No	No	No
IGF1R	3480	5	Yes	Yes	Yes	Yes	Yes	No	No
IGF2	3481	4	Yes	Yes	Yes	Yes	No	No	No
IGH	3492	2	No	No	No	No	Yes	No	Yes
IGL	3535	2	No	No	No	No	Yes	No	Yes
IKBKB	3551	1	No	No	No	No	No	No	Yes
IL2	3558	1	No	No	No	No	No	No	Yes
IL3	3562	1	No	No	No	No	Yes	No	No
IL6ST	3572	1	No	No	No	No	No	No	Yes
IL7R	3575	6	Yes	Yes	Yes	Yes	Yes	No	Yes
IL10	3586	2	Yes	Yes	No	No	No	No	No
INHA	3623	2	Yes	Yes	No	No	No	No	No
INHBA	3624	4	Yes	Yes	No	Yes	Yes	No	No
INPP4A	3631	2	Yes	Yes	No	No	No	No	No
INPP5D	3635	1	No	No	No	No	Yes	No	No
INPPL1	3636	2	Yes	Yes	No	No	No	No	No
INSR	3643	2	Yes	Yes	No	No	No	No	No
EIF3E	3646	1	No	No	No	No	No	No	Yes
IRF1	3659	3	Yes	No	Yes	No	Yes	No	No
IRF2	3660	1	No	No	No	Yes	No	No	No
IRF4	3662	6	Yes	Yes	Yes	Yes	Yes	No	Yes
IRS1	3667	2	Yes	Yes	No	No	No	No	No
ITK	3702	2	No	No	No	No	Yes	No	Yes
JAK1	3716	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
JAK2	3717	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
JAK3	3718	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
JARID2	3720	3	Yes	No	Yes	No	Yes	No	No
JUN	3725	6	Yes	Yes	Yes	Yes	Yes	No	Yes
KCNJ5	3762	1	No	No	No	No	No	No	Yes
KDR	3791	6	Yes	Yes	Yes	Yes	Yes	No	Yes
KEL	3792	1	No	No	No	Yes	No	No	No
KIF5B	3799	2	No	No	No	No	Yes	No	Yes
KIT	3815	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KLK2	3817	1	No	No	No	No	No	No	Yes
KRAS	3845	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KTN1	3895	1	No	No	No	No	No	No	Yes
AFF3	3899	1	No	No	No	No	No	No	Yes
LASP1	3927	2	No	No	No	No	Yes	No	Yes
LCK	3932	3	Yes	No	Yes	No	No	No	Yes
LCP1	3936	2	No	No	No	No	Yes	No	Yes
LIFR	3977	1	No	No	No	No	No	No	Yes
LMNA	4000	1	No	No	No	No	No	No	Yes
LMO1	4004	6	Yes	Yes	Yes	Yes	Yes	No	Yes
LMO2	4005	2	No	No	No	No	Yes	No	Yes
LPP	4026	2	No	No	No	No	Yes	No	Yes
LTB	4050	2	Yes	No	Yes	No	No	No	No
LYL1	4066	2	No	No	No	No	Yes	No	Yes
LYN	4067	3	Yes	Yes	No	Yes	No	No	No
SH2D1A	4068	2	Yes	Yes	No	No	No	No	No
EPCAM	4072	2	Yes	Yes	No	No	No	No	No
SMAD2	4087	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMAD3	4088	4	Yes	Yes	No	Yes	No	No	Yes
SMAD4	4089	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MAF	4094	2	No	No	No	No	Yes	No	Yes
MAX	4149	3	Yes	Yes	No	No	No	No	Yes
MCL1	4170	5	Yes	Yes	Yes	Yes	Yes	No	No
MDM2	4193	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MDM4	4194	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MEF2BNB-MEF2B	4207	0	No	No	No	No	No	No	No
MEF2C	4208	1	No	No	No	No	Yes	No	No
MAP3K1	4214	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MEN1	4221	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MET	4233	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CIITA	4261	4	Yes	No	Yes	No	Yes	No	Yes
MITF	4286	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MKI67	4288	1	No	No	No	No	Yes	No	No
MLF1	4291	2	No	No	No	No	Yes	No	Yes
MLH1	4292	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KMT2A	4297	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MLLT1	4298	2	No	No	No	No	Yes	No	Yes
AFF1	4299	2	No	No	No	No	Yes	No	Yes
MLLT3	4300	2	No	No	No	No	Yes	No	Yes
MLLT4	4301	2	No	No	No	No	Yes	No	Yes
MLLT6	4302	2	No	No	No	No	Yes	No	Yes
FOXO4	4303	2	No	No	No	No	Yes	No	Yes
MN1	4330	2	No	No	No	No	Yes	No	Yes
MPL	4352	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MRE11A	4361	5	Yes	Yes	Yes	Yes	Yes	No	No
MSH2	4436	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MSH3	4437	3	Yes	Yes	No	No	Yes	No	No
MSI1	4440	2	Yes	Yes	No	No	No	No	No
MSN	4478	2	No	No	No	No	Yes	No	Yes
MST1	4485	2	Yes	Yes	No	No	No	No	No
MST1R	4486	2	Yes	Yes	No	No	No	No	No
MTCP1	4515	1	No	No	No	No	No	No	Yes
MUC1	4582	2	No	No	No	No	Yes	No	Yes
MUTYH	4595	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MYB	4602	3	No	No	No	Yes	Yes	No	Yes
MYC	4609	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MYCL	4610	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MYCN	4613	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MYD88	4615	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GADD45B	4616	1	No	No	No	No	Yes	No	No
MYH9	4627	2	No	No	No	No	Yes	No	Yes
MYH11	4629	2	No	No	No	No	Yes	No	Yes
MYO5A	4644	1	No	No	No	No	No	No	Yes
MYOD1	4654	3	Yes	Yes	No	No	No	No	Yes
NAB2	4665	1	No	No	No	No	No	No	Yes
NACA	4666	2	No	No	No	No	Yes	No	Yes
NBN	4683	4	Yes	Yes	Yes	No	No	No	Yes
NF1	4763	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NF2	4771	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NFATC2	4773	1	No	No	No	No	No	No	Yes
NFE2	4778	2	Yes	No	Yes	No	No	No	No
NFE2L2	4780	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NFIB	4781	1	No	No	No	No	No	No	Yes
NFKB2	4791	2	No	No	No	No	Yes	No	Yes
NFKBIA	4792	4	Yes	Yes	No	Yes	Yes	No	No
NFKBIE	4794	1	No	No	No	No	No	No	Yes
NKX3-1	4824	2	Yes	Yes	No	No	No	No	No
NONO	4841	1	No	No	No	No	No	No	Yes
CNOT3	4849	1	No	No	No	No	No	No	Yes
NOTCH1	4851	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH2	4853	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH3	4854	4	Yes	Yes	Yes	Yes	No	No	No
NOTCH4	4855	3	Yes	Yes	Yes	No	No	No	No
NPM1	4869	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NRAS	4893	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NTHL1	4913	2	Yes	Yes	No	No	No	No	No
NTRK1	4914	6	Yes	Yes	Yes	Yes	Yes	No	Yes
NTRK2	4915	5	Yes	Yes	Yes	Yes	Yes	No	No
NTRK3	4916	6	Yes	Yes	Yes	Yes	Yes	No	Yes
DDR2	4921	6	Yes	Yes	Yes	Yes	Yes	No	Yes
NUMA1	4926	2	No	No	No	No	Yes	No	Yes
NUP98	4928	2	No	No	No	No	Yes	No	Yes
OMD	4958	2	No	No	No	No	Yes	No	Yes
FURIN	5045	2	Yes	No	Yes	No	No	No	No
PAFAH1B2	5049	2	No	No	No	No	Yes	No	Yes
PAK1	5058	2	Yes	Yes	No	No	No	No	No
PAK3	5063	2	No	No	No	Yes	Yes	No	No
PARK2	5071	3	Yes	Yes	No	Yes	No	No	No
PAX3	5077	2	No	No	No	No	Yes	No	Yes
PAX5	5079	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PAX7	5081	2	No	No	No	No	Yes	No	Yes
PBX1	5087	2	No	No	No	No	Yes	No	Yes
PC	5091	1	No	No	No	No	Yes	No	No
PCBP1	5093	3	Yes	No	Yes	No	Yes	No	No
PCM1	5108	2	No	No	No	No	Yes	No	Yes
PDCD1	5133	4	Yes	Yes	Yes	No	Yes	No	No
PDGFB	5155	2	No	No	No	No	Yes	No	Yes
PDGFRA	5156	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PDGFRB	5159	6	Yes	Yes	Yes	Yes	Yes	No	Yes
PDK1	5163	2	No	No	No	Yes	Yes	No	No
PDPK1	5170	3	Yes	Yes	Yes	No	No	No	No
PER1	5187	2	No	No	No	No	Yes	No	Yes
PGR	5241	2	Yes	Yes	No	No	No	No	No
PHF1	5252	1	No	No	No	No	Yes	No	No
PIGA	5277	2	Yes	No	Yes	No	No	No	No
PIK3C2B	5287	1	No	No	No	Yes	No	No	No
PIK3C2G	5288	3	Yes	Yes	Yes	No	No	No	No
PIK3C3	5289	3	Yes	Yes	Yes	No	No	No	No
PIK3CA	5290	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PIK3CB	5291	3	Yes	Yes	No	Yes	No	No	No
PIM1	5292	5	Yes	Yes	Yes	No	Yes	No	Yes
PIK3CD	5293	2	Yes	Yes	No	No	No	No	No
PIK3CG	5294	5	Yes	Yes	Yes	Yes	Yes	No	No
PIK3R1	5295	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PIK3R2	5296	5	Yes	Yes	Yes	Yes	Yes	No	No
PLAG1	5324	2	No	No	No	No	Yes	No	Yes
PLCG1	5335	3	Yes	No	Yes	No	No	No	Yes
PLCG2	5336	5	Yes	Yes	Yes	Yes	Yes	No	No
PMAIP1	5366	2	Yes	Yes	No	No	No	No	No
PML	5371	2	No	No	No	No	Yes	No	Yes
PMS1	5378	3	Yes	Yes	No	No	No	No	Yes
PMS2	5395	5	Yes	Yes	Yes	Yes	No	No	Yes
PRRX1	5396	2	No	No	No	No	Yes	No	Yes
SEPT5	5413	2	No	No	No	No	Yes	No	Yes
POLD1	5424	3	Yes	Yes	No	Yes	No	No	No
POLE	5426	4	Yes	Yes	No	Yes	No	No	Yes
POU2AF1	5450	2	No	No	No	No	Yes	No	Yes
POU5F1	5460	1	No	No	No	No	No	No	Yes
PPARG	5468	3	Yes	Yes	No	No	No	No	Yes
PPP1CB	5500	1	No	No	No	No	Yes	No	No
PPP2R1A	5518	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PPP6C	5537	3	Yes	Yes	No	No	No	No	Yes
PRCC	5546	1	No	No	No	No	No	No	Yes
PRF1	5551	1	No	No	No	No	No	No	Yes
PRKACA	5566	1	No	No	No	No	No	No	Yes
PRKAR1A	5573	6	Yes	Yes	Yes	Yes	Yes	No	Yes
